,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-06-26,,,0.0,0.0,4855.133538262146,4772.3665061971005,0.026546243250345963
1,1,257,2020-07-23,2020-08-06,2020-08-07,14.0,29.302128000000003,752.9599486600616,2514.5398560395747,4590.237513913966,,
2,2,514,2020-08-10,2020-08-24,2020-08-26,32.0,29.260267,1526.3436898970008,5145.245049992387,4274.766923277828,4145.822308955221,0.02996263835576185
3,3,771,2020-09-02,2020-09-16,2020-09-18,55.0,29.74127,2300.3083834192767,7805.811147989107,4132.022526816751,,
4,4,1028,2020-09-23,2020-10-07,2020-10-08,76.0,29.829227000000003,3074.250021993236,10473.597289487154,4055.327080243827,3881.4313732206183,0.030694545900292677
5,5,1285,2020-10-13,2020-10-28,2020-10-29,97.0,30.015071999999996,3848.11259903915,13143.85144434268,4006.204018302146,,
6,6,1542,2020-11-04,2020-11-18,2020-11-19,118.0,30.420654,4622.099471470588,15815.548825812457,3955.5949803528742,3732.427817780077,0.03135519972295403
7,7,1799,2020-11-24,2020-12-08,2020-12-09,138.0,30.591959000000003,5395.781354031863,18488.194336315217,3892.990067613418,,
8,8,2056,2020-12-16,2020-12-31,2021-01-05,161.0,30.695126000000002,6169.633283734655,21165.96770187026,3865.615255227751,3557.496629790032,0.03240007083639925
9,9,2313,2021-01-11,2021-01-25,2021-01-26,186.0,31.122488,6943.191642598171,23844.69857956941,3794.041158572619,,
10,10,2570,2021-02-01,2021-02-17,2021-02-22,209.0,31.060081,7718.007696286263,26534.099767709744,3753.8777146817747,3360.720979037415,0.0328486399085621
11,11,2827,2021-03-01,2021-03-15,2021-03-16,235.0,31.296629,8491.142236510483,29226.056941638304,3671.918406375449,,
12,12,3084,2021-03-19,2021-04-03,2021-04-08,254.0,31.154040000000002,9264.113265767419,31940.083193126324,3580.812372340662,3036.223971313617,0.034929940506474626
13,13,3341,2021-04-16,2021-04-25,2021-04-28,276.0,31.194607,9718.937396824895,33582.559636422615,3265.098817838162,,
14,14,3598,2021-04-30,2021-05-04,2021-05-05,285.0,30.196169,9903.222841266168,34255.958337770455,2712.834225514765,1505.5510397962798,0.04734140767602699
