,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-07-01,,,0.0,0.0,4878.88456988181,4798.807929142937,0.025898870150961824
1,1,78,2020-07-23,2020-08-08,2020-08-10,16.0,16.950932,627.1695252657196,2289.7255553953078,4602.522514529501,,
2,2,156,2020-08-12,2020-08-27,2020-08-28,35.0,16.869081,1216.2939422430595,4445.500194172375,4444.773285368654,4300.794790597606,0.027437793501199913
3,3,234,2020-09-02,2020-09-19,2020-09-23,58.0,16.87394,1791.9331517186724,6551.073859226324,4312.810958204147,,
4,4,312,2020-09-28,2020-10-13,2020-10-15,82.0,16.841242,2354.663471545031,8597.254942901329,4216.656895456216,4080.8163231443928,0.15812613752473062
5,5,390,2020-10-26,2020-11-10,2020-11-12,110.0,16.411688,2908.580296476302,10618.722011386446,4135.9304387554885,,
6,6,468,2020-11-16,2020-12-01,2020-12-01,131.0,16.634764,3439.868090913866,12556.724451112448,4040.995508728493,3920.520936910276,0.03010777424916149
7,7,546,2020-12-07,2020-12-22,2020-12-22,152.0,16.500956,3944.2027085729696,14396.201274438681,3974.336224956352,,
8,8,624,2020-12-29,2021-01-13,2021-01-13,174.0,16.350368,4409.586101994055,16095.590628142727,3924.912140564776,3729.8381256842713,0.031243871518041512
9,9,702,2021-01-18,2021-02-01,2021-02-02,193.0,16.50069,4842.124151722144,17675.985727967593,3861.986472359857,,
10,10,780,2021-02-04,2021-02-20,2021-02-22,212.0,15.771464000000002,5230.12573070481,19095.169215796377,3814.107171067606,3543.696027972414,0.0327270927988608
11,11,858,2021-03-01,2021-03-15,2021-03-17,235.0,16.072416,5582.705151072666,20386.171124621833,3751.895621810476,,
12,12,936,2021-03-22,2021-04-16,2021-04-19,267.0,15.804794000000001,5899.6156597902955,21548.435118597896,3688.633520574419,3279.913487700882,0.0346023640607392
13,13,1014,2021-04-23,2021-05-06,2021-05-10,287.0,15.829542000000002,6174.442986011413,22556.07878009301,3637.233538946062,,
14,14,1092,2021-05-12,2021-05-24,2021-05-28,305.0,15.076020000000002,6412.502388783981,23428.86565027046,3566.3116637693574,3050.286147718095,0.0354476199619939
15,15,1170,2021-06-04,2021-06-22,2021-06-28,334.0,15.776864999999999,6623.877924587857,24203.735991919042,3524.218144379192,,
