,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-07-06,,,0.0,0.0,4836.436137400829,4759.617214951841,0.02624384027654263
1,1,78,2020-07-23,2020-08-07,2020-08-10,15.0,41.594803000000006,719.5606138153947,2634.847788472192,4623.918344926612,,
2,2,156,2020-08-12,2020-08-27,2020-08-28,35.0,36.587115999999995,1412.4575529277968,5176.757329855551,4519.276845149168,4411.304716752923,0.02773203942241106
3,3,234,2020-09-02,2020-09-17,2020-09-23,56.0,41.70883,2091.461107039135,7670.646549866093,4399.338987927037,,
4,4,312,2020-09-28,2020-10-12,2020-10-13,81.0,41.569138,2758.8273053044063,10122.977147491112,4335.51922761114,4249.868871624079,0.029290772161294935
5,5,390,2020-10-19,2020-11-03,2020-11-04,103.0,41.82841,3414.9655610871655,12534.377894123605,4275.360579586375,,
6,6,468,2020-11-09,2020-11-23,2020-11-24,123.0,42.049553,4062.2726968717516,14913.264813664136,4223.607906028421,4124.181074293216,0.029842492393966434
7,7,546,2020-12-01,2020-12-15,2020-12-16,145.0,41.97663,4700.894077159058,17259.667408361292,4171.5801296418895,,
8,8,624,2020-12-18,2021-01-02,2021-01-05,163.0,42.39966,5330.429991587294,19572.197737429946,4121.763641861287,4005.587058126626,0.03118587760762332
9,9,702,2021-01-11,2021-01-26,2021-01-27,187.0,42.322055999999996,5951.900195403257,21854.350758491284,4073.749171856795,,
10,10,780,2021-02-01,2021-02-18,2021-02-22,210.0,41.42816,6570.251366380652,24124.645035081187,4024.934010158241,3876.282410037027,0.03225946794711157
11,11,858,2021-03-01,2021-03-16,2021-03-17,236.0,42.228252000000005,7169.201386967667,26322.695379174533,3970.7890327460887,,
12,12,936,2021-03-22,2021-04-06,2021-04-08,257.0,42.090782,7753.468123323043,28466.251390532467,3915.81094047895,3707.683173704301,0.03267571739465533
13,13,1014,2021-04-19,2021-05-04,2021-05-05,285.0,42.347559999999994,8322.751348580803,30553.796836683803,3862.0005830689,,
14,14,1092,2021-05-10,2021-05-25,2021-05-28,306.0,41.886314,8872.236550467815,32567.676622681352,3804.657450100201,3508.5177898689863,0.03475950902164725
15,15,1170,2021-06-04,2021-06-26,2021-06-28,338.0,41.84095,9402.368600167389,34509.21888969469,3713.746208642277,,
